fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
5.7,2010-01-08 14:19:47 UTC,-73.98259,40.751188,-73.97884300000001,40.744225,1
6.0,2012-10-05 22:18:00 UTC,-74.014972,40.713872,-74.01349300000001,40.703732,5
10.9,2009-05-26 10:42:42 UTC,-73.968731,40.770198,-73.973116,40.798533,1
29.7,2012-05-30 00:59:00 UTC,-73.99072199999999,40.75583,-73.807565,40.71459,5
28.27,2010-01-04 14:32:19 UTC,-73.874773,40.774046000000006,-73.974314,40.75627,3
3.5,2013-07-24 15:33:00 UTC,-73.992298,40.764147,-73.988633,40.769025,3
5.5,2012-12-01 14:24:00 UTC,-73.96299,40.775177,-73.95076800000001,40.783212,1
9.5,2013-08-26 06:44:00 UTC,-73.970365,40.788552,-73.970738,40.761397,1
13.0,2014-09-14 00:55:12 UTC,-73.958744,40.710499,-73.964602,40.682112,3
11.0,2014-03-08 23:43:00 UTC,-73.947907,40.78334,-73.967737,40.756237,5
6.1,2009-08-18 18:33:21 UTC,-73.996478,40.737707,-73.982603,40.756763,1
8.1,2010-11-28 15:45:00 UTC,-73.949888,40.784297,-73.959758,40.762063,2
4.9,2009-05-10 03:21:00 UTC,-74.002415,40.733567,-74.004643,40.737663,1
8.9,2009-08-21 16:57:48 UTC,-73.999898,40.732861,-73.972596,40.745962,2
7.0,2015-03-11 15:50:13 UTC,-73.9738540649414,40.79162216186523,-73.96217346191406,40.81010437011719,1
12.1,2012-04-06 13:54:27 UTC,-73.977402,40.784581,-73.96422,40.75874,2
11.3,2011-07-24 12:20:50 UTC,-73.991493,40.755348,-73.996622,40.725908,1
7.3,2009-07-23 22:39:16 UTC,-73.984305,40.695783,-73.98513100000001,40.713346,1
6.5,2010-02-28 02:16:20 UTC,-73.963256,40.680039,-73.971742,40.697495,2
4.1,2012-03-11 21:03:00 UTC,-73.937573,40.804247,-73.945812,40.792907,2
16.1,2009-09-19 00:36:00 UTC,-73.987637,40.71979,-73.97608199999999,40.780872,5
15.5,2013-01-10 14:17:49 UTC,-73.971294,40.755277,-73.948471,40.80389,2
20.1,2011-12-03 18:03:23 UTC,-73.9665,40.7944,-73.9869,40.7196,1
12.9,2011-09-06 23:42:00 UTC,-74.008938,40.716043,-73.98094499999999,40.732407,1
28.5,2014-06-03 15:21:41 UTC,-74.013152,40.716607,-73.955297,40.779467,1
12.0,2014-11-25 23:36:33 UTC,-73.982726,40.742036,-73.99498,40.714332,1
4.5,2009-11-11 06:22:27 UTC,-73.991437,40.74979,-73.981445,40.752163,1
9.5,2012-11-20 21:09:00 UTC,-73.97364,40.764412,-73.972522,40.78668,1
7.5,2015-04-20 06:47:10 UTC,-73.9916000366211,40.749961853027344,-73.97149658203125,40.762020111083984,6
5.3,2011-05-02 14:08:30 UTC,-73.955061,40.7693,-73.963453,40.768695,1
4.5,2010-04-17 20:36:00 UTC,-73.986387,40.726522,-73.97914300000001,40.736153,2
28.5,2014-08-31 09:05:00 UTC,-73.93777299999999,40.758277,-73.8156,40.7247,6
9.3,2011-04-27 18:46:00 UTC,-73.980202,40.74307,-74.00612199999999,40.723492,1
13.7,2011-12-07 08:43:00 UTC,-73.97320699999999,40.7436,-74.008713,40.707005,1
8.1,2010-02-24 21:52:00 UTC,-73.981397,40.745137,-74.003303,40.716692,2
2.5,2014-05-14 18:50:46 UTC,-73.996309,40.743992,-73.996309,40.743992,1
13.5,2014-10-04 15:36:52 UTC,-73.98213100000001,40.775012,-74.005794,40.741108,3
7.0,2013-04-15 11:53:18 UTC,-73.970359,40.764574,-73.956692,40.780462,1
6.5,2015-02-14 19:05:12 UTC,-73.99810028076173,40.73619842529297,-73.98856353759766,40.727500915527344,1
6.1,2012-01-02 19:12:00 UTC,-73.975155,40.787442,-73.95489,40.777742,2
14.9,2010-08-27 09:13:00 UTC,-74.003012,40.724973,-73.959937,40.766647,1
6.0,2014-12-23 19:43:00 UTC,-73.989412,40.752273,-73.99645799999999,40.742847,5
10.5,2011-04-04 15:19:15 UTC,-73.971528,40.762516,-73.98105600000001,40.780901,1
5.3,2012-05-04 07:48:32 UTC,-73.964957,40.775247,-73.967442,40.763434,1
3.3,2011-02-16 07:05:41 UTC,-73.975602,40.755248,-73.972155,40.757858,1
4.5,2011-05-07 01:22:26 UTC,-74.00370799999999,40.737505,-74.006573,40.730952,2
17.0,2013-12-10 08:34:00 UTC,-73.98003800000001,40.73517,-74.016142,40.710922,5
6.5,2014-03-24 14:13:34 UTC,-73.977563,40.752652000000005,-73.967247,40.752036,1
10.0,2013-03-08 16:21:00 UTC,-73.98487,40.774292,-73.963102,40.802622,1
16.5,2013-10-02 10:33:00 UTC,-73.996477,40.7533,-73.973247,40.764387,4
8.5,2014-08-01 09:58:00 UTC,-73.97846,40.729685,-73.969862,40.748552,1
7.7,2010-11-13 19:13:16 UTC,-73.978368,40.757089,-73.979926,40.765344,1
