fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
7.5,2013-09-21 08:38:00 UTC,-73.991475,40.744142,-73.973567,40.761202,1
5.7,2011-02-28 20:34:00 UTC,-73.98665799999999,40.757668,-73.99254300000001,40.740547,1
16.0,2014-08-23 02:41:00 UTC,-73.98321,40.73495,-73.95357,40.788012,2
6.9,2011-02-25 09:42:42 UTC,-73.99154399999999,40.750282,-73.979496,40.738285,1
7.5,2014-07-18 08:55:50 UTC,-73.982404,40.723422,-74.00044100000001,40.72088,1
8.1,2010-08-22 20:54:00 UTC,-73.9617,40.773402,-73.98859,40.764037,5
7.7,2012-01-19 14:22:01 UTC,-73.99580999999999,40.733533,-73.97549000000001,40.740992,1
8.9,2009-11-07 11:34:19 UTC,-73.96299300000001,40.723179,-73.994202,40.751408000000005,1
18.5,2014-05-06 08:00:58 UTC,-74.002691,40.749657,-73.962113,40.805326,1
10.1,2012-02-11 22:08:30 UTC,-74.006899,40.731465,-73.990055,40.757624,3
7.7,2009-12-04 14:57:00 UTC,-73.95693,40.766290000000005,-73.97129,40.764468,1
6.9,2012-02-19 14:59:32 UTC,-73.941819,40.727854,-73.941819,40.727854,1
9.9,2009-03-06 19:34:50 UTC,-73.986405,40.736961,-73.978983,40.762704,3
22.1,2010-07-03 03:27:00 UTC,-74.009517,40.708553,-73.949603,40.788118,2
11.7,2012-05-20 14:10:00 UTC,-73.993255,40.722172,-73.98480699999999,40.754507,5
10.0,2013-10-03 19:06:00 UTC,-73.98050699999999,40.742582,-73.985927,40.762455,1
2.9,2011-03-31 18:13:51 UTC,-73.994331032767,40.735059221375,-73.953965516384,40.766971252516,1
18.5,2015-02-19 11:15:02 UTC,-73.9466552734375,40.78046798706055,-73.98391723632812,40.7425651550293,3
11.7,2010-10-18 17:58:00 UTC,-74.011298,40.724018,-73.978755,40.750678,1
6.5,2012-01-12 19:10:57 UTC,-73.954288,40.78972,-73.97890600000001,40.777122,1
15.7,2009-02-14 13:18:54 UTC,-73.977527,40.758448,-74.00728199999999,40.707243,1
16.5,2014-09-23 22:05:00 UTC,-74.00633499999999,40.716722,-73.97994,40.777885,6
13.0,2015-04-22 15:17:40 UTC,-73.98993682861328,40.718971252441406,-74.0052032470703,40.73878860473633,2
8.5,2014-05-16 11:38:00 UTC,-73.95369699999999,40.777832,-73.973035,40.78694,2
7.5,2015-02-20 20:03:31 UTC,-73.96914672851562,40.75749588012695,-73.9842758178711,40.764591217041016,1
8.5,2009-02-11 17:16:27 UTC,-73.956429,40.775348,-73.96952900000001,40.793878,1
15.0,2014-03-21 07:10:06 UTC,-73.970515,40.793818,-73.942538,40.841694,1
11.5,2013-07-15 20:48:00 UTC,-73.94923299999999,40.777177,-73.975482,40.745177000000005,5
7.7,2010-08-09 15:59:06 UTC,-73.99427299999999,40.735296000000005,-73.989939,40.754712,2
